553,"РУССЭЙР","Закрытое акционерное общество «Авиационная компания «РУССЭЙР»",,"Agusta AW-139  (4), Agusta A-109  (2), AS-350  (1), BK-117  (1), EC-155  (3), Falcon 7X  (1)"
102,"СарАвиа","Открытое акционерное общество «Саратовские авиалинии»","Саратов (Центральный)","Як-42  (8), ERJ 190-200IGW  (2)"
516,"Северный Ветер","Общество с ограниченной ответственностью «Северный Ветер»","Москва (Шереметьево)","A-320  (1), A-321  (8), B-737  (4), B-767  (3), B-777  (2), B737-8BK  (2), B777-2Q8ER  (1)"
548,"Северо-Запад","Общество с ограниченной ответственностью  «Авиакомпания «Северо-Запад»","Печора  Санкт-Петербург (Пулково)","EC-120  (1), Ми-8  (6)"
251,"СЕВЕРСТАЛЬ АП ООО","Общество с ограниченной ответственностью «Авиапредприятие «Северсталь»","Череповец","Challenger 300  (1), CL-600-2B19  (6), Як-40  (1)"
99,"СИБИА","Общество с ограниченной ответственностью «АВИАКОМПАНИЯ «СИБИА»","Курган","Ан-2  (6)"
31,"Сибирь","Открытое Акционерное Общество «Авиакомпания «Сибирь»","Москва (Домодедово)  Новосибирск(Толмачево)","A-319  (20), A-320  (19), A-321  (4), B-767  (2)"
552,"СиЛА","0бщество с ограниченной ответственностью «Сибирская Легкая Авиация»","Магадан(Сокол)","Ан-28  (4)"
246,"СИМАРГЛ","Общество с ограниченной ответственностью «Авиакомпания «СИМАРГЛ»","Нальчик","Ми-2  (1), Ми-8МТВ  (1)"
207,"СИРИУС-АЭРО","Общество с ограниченной ответственностью Авиакомпания «Сириус-Аэро»","Москва (Внуково)","BAe-125-800  (1), HS-125-700  (3), Ту-134  (3), Hawker 850 XP  (2), ВАе 125-1000  (1)"
228,"СКОЛ","Общество с ограниченной ответственностью «Авиакомпания «СКОЛ»","Красноярск(Черемшанка)","AS-350  (3), Cessna 208  (3), Ми-171  (3), Ми-26  (8), Ми-8  (7), Як-40  (2)"
452,"Таймыр ОАО","Открытое акционерное общество «Авиакомпания «Таймыр»","Красноярск (Емельяново)  Москва (Домодедово)","ATR-42  (5), B-737  (10), Ми-8  (7), Ми-8МТВ  (3)"
494,"Томск Авиа  Действие СЭ приостановлено","Общество  с ограниченной ответственностью  «Авиакомпания «Томск  Авиа»","Колпашево  Стрежевой  Томск (Богашево)","Cessna 208  (2), Ан-24  (1)"
51,"ТРАНСАЭРО","Открытое акционерное Общество «Авиационная Компания «Трансаэро»","Москва (Внуково)  Москва (Домодедово)  Москва (Шереметьево)  Санкт-Петербург (Пулково)","B-737  (48), B-747  (20), B-767  (18), B-777  (14), Ту-204  (2), Ту-214  (3)"
359,"Тулпар Эйр","Общество с ограниченной ответственностью  «Авиакомпания «Тулпар Эйр»","Казань","BD-700 Global Express  (1), Challenger 300  (2), CL-600-2B19  (1), Як-40  (1)"
90,"ТУРУХАН","Общество с ограниченной ответственностью Авиакомпания «Турухан»","Туруханск","Ан-24  (20), Ан-26  (3), Ми-8  (16), Ми-8МТВ  (2), Ту-134  (4)"
540,"Уктус","Закрытое акционерное общество «Авиакомпания «Уктус»","Екатеринбург(Кольцово)","EC-130  (1), L-410  (1), Pilatus PC-12  (2), Ан-74  (2)"
565,"Универсал-Авиа ГУП РК","Государственное унитарное предприятие Республики Крым «Универсал-Авиа»",,"Ми-8  (1), Ми-8МТВ  (3)"
18,"Уральские авиалинии","ОАО Авиакомпания «Уральские авиалинии»","Екатеринбург(Кольцово)  Москва (Домодедово)","A-319  (6), A-320  (18), A-321  (10)"
459,"Хабаровские Авиалинии","Краевое государственное унитарное предприятие «Хабаровские авиалинии»","Николаевск-на-Амуре  Хабаровск (Новый)","L-410  (3), Ан-24  (3), Ан-26  (4)"
169,"ЦЕНТР-ЮГ","ООО «Авиакомпания «ЦЕНТР-ЮГ»","Белгород  Липецк  Москва (Шереметьево)","RRJ-95  (3), Ту-134  (2), Як-40  (2)"
108,"ЧукотАВИА","Государственное предприятие Чукотского автономного округа «ЧукотАВИА»","Анадырь (Угольный)","Ан-24  (1), Ан-26  (3), Ми-8  (8), Ми-8МТВ  (1), DHC-6 Series 400 Twin Otter  (2)"
208,"ШАР инк Лтд.","Общество с ограниченной ответственностью «Производственная многоотраслевая авиакомпания «Шар инк. Лтд»","Остафьево  Ярославль(Туношна)","Ан-74  (3), Ил-76  (2)"
501,"ЭйрБриджКарго","Общество с ограниченной ответственностью «Авиакомпания ЭйрБриджКарго»","Москва (Шереметьево)","B-737  (2), B-747  (14)"
53,"ЮТэйр ЗАО","Закрытое акционерное общество  «ЮТэйр»","Рощино  Сургут","Gulfstream G-IV  (1), Gulfstream G-V  (1), Ан-2  (8), Ан-74  (6), Culfstream GVI (G650)  (1)"
6,"ЮТэйр ПАО","Публичное акционерное общество «Авиакомпания «ЮТэйр»","Березово  Игрим  Москва (Внуково)  Мыс Каменный  Ноябрьск  Рощино  Сургут  Сыктывкар  Тазовский  Тюмень(Плеханово)  Ханты-Мансийск","AS-350  (12), AS-355  (6), ATR-72  (15), A-321  (6), BO-105  (1), B-737  (54), B-767  (6), CL-600-2B19  (1), Ми-8МТВ  (24)"
34,"ЮТэйр-Вертолётные услуги","Открытое акционерное общество «ЮТэйр-Вертолётные услуги»","Нефтеюганск","AS-350  (1), AS-355  (1), BO-105  (2), Robinson R-44  (5), Ка-32  (3), Ми-26  (10), Ми-8  (110), Ми-8МТВ  (36)"
504,"ЮТэйр-Экспресс  Действие СЭ приостановлено","ООО «ЮТэйр-Экспресс»","Москва (Внуково)  Сургут  Сыктывкар  Тюмень(Рощино)  Уфа",
464,"Якутия","Открытое акционерное общество «Авиакомпания «Якутия»","Краснодар (Пашковский)  Москва (Внуково)  Якутск","B-737  (4), DHC-8  (4), RRJ-95  (2), Ан-24  (5), B-757-236 PCF  (1)"
526,"Ямал АК ООО","Общество с ограниченной ответственностью «Авиационная компания «Ямал»","Салехард  Тазовский  Тарко-Сале","AS-350  (2), Ми-8  (41), Ми-8МТВ  (3)"
142,"Ямал АТК ОАО","Открытое акционерное общество «Авиационная транспортная компания «Ямал»","Москва (Домодедово)  Салехард  Тюмень(Рощино)","A-320  (7), A-321  (2), B-737  (4), CL-600-2B19  (11), L-410  (2)"
463,"2-й Архангельский ОАО, ОАО","Открытое акционерное общество «2-ой Архангельский объединенный авиаотряд»","Архангельск (Васьково)","L-410  (4), Ан-2  (6), Ми-26  (2), Ми-8  (9), Ми-8МТВ  (2)"
239,"223-й ЛО ФГКУ","федеральное государственное казенное учреждение «Государственная авиакомпания  «223 Летный отряд» Министерства обороны  Российской Федерации","Чкаловский","Ил-62  (4), Ил-76  (5), Ту-154  (4)"
529,"224-й ЛО ОАО","Открытое акционерное общество «Государственная авиакомпания «224 летный отряд»","Тверь(Мигалово)","Ан-124  (8), Ил-76  (17)"
