Наименование аэропорта РФ;Год периода данных;Январь;Февраль;Март;Апрель;Май;Июнь;Июль;Август;Сентябрь;Октябрь;Ноябрь;Декабрь;Январь - Декабрь
Якутск(Маган);2018;***;***;***;***;***;***;***;***;***;;;;
Ямбург;2018;5 572;5 640;5 170;5 515;4 973;4 841;4 201;4 849;5 067;;;;
Ярославль(Туношна);2018;1 381;888;1 409;1 521;2 063;2 075;3 542;3 703;2 353;;;;
Ярцево;2018;***;***;***;***;***;***;***;***;***;;;;
Абакан;2017;11004;9761;10530;11466;14786;17209;23901;23688;18991;15891;13588;14370;185185
Айхал;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Алдан;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Амдерма;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Анадырь;2017;4609;4105;5818;6484;7878;11777;12030;13083;4609;8964;7632;8549;95538
Анапа(Витязево);2017;34458;30334;40001;47806;74325;208061;285782;290595;191969;70779;45673;43010;1362793
Антипаюта;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Апатиты(Хибины);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Архангельск(Васьково);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Архангельск(Талаги);2017;51674;51210;61184;59527;72264;90412;102459;105531;88788;77466;65871;65481;891867
Астрахань(Нариманово);2017;37403;35787;40919;53171;58792;53292;53702;53145;54187;54949;41797;43766;580910
Ачинск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Аян;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Багдарин;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Байкит;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Барнаул(Имени Г.С.Титова);2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Батагай;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Белая Гора;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Белгород;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Белоярский;2017;3482;3352;4587;5644;6381;6154;6879;6719;5234;5704;6929;5778;66843
Белушье;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Березово;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
"Беринговский(Филиал ФКП ""А/П Чукотки"")";2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Бийск;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
Благовещенск;2017;25233;24366;25152;28534;30699;37102;45668;47691;38925;32483;29858;32994;398705
Бованенково;2017;***;***;***;***;***;***;***;***;***;***;***;***;***
