Наименование аэропорта РФ;Год периода данных;Январь;Февраль;Март;Апрель;Май;Июнь;Июль;Август;Сентябрь;Октябрь;Ноябрь;Декабрь;Январь - Декабрь
Горно-Алтайск;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Грозный(Северный);2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Гыда;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Дальнереченск;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Депутатский;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Диксон;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Дудинка;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Ейск;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Екатеринбург(Кольцово);2 017;1136,49;1463,22;1818,36;1504,9;1388,83;1465,17;1703,61;1805,98;1763,96;1722,22;1768,26;1799,27;19340,27
Екатеринбург(Уктус);2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Елизово(Авачинский);2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Енисейск;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Ербогачен;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Жиганск;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Жуковский;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Залив Лаврентия(Лаврентия);2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Зея;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Зональное;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Зырянка;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
Иваново(Южный);2 017;0,04;15,68;20;146,5;0;74,31;101,2;0;33,32;0;39,34;152,21;582,6
Игарка;2 017;***;***;***;***;***;***;***;***;***;***;***;***;***
